number,score,loss,transmission,cooling_factor,eps6d_in,eps6d_out,n_in,n_out,ok,wall_seconds,p_BLS,p_Grad,p_Grad0,p_delf,p_pitchFactor,p_dtRF,p_wedgeScale
56,-5.352341301648041,5.352341301648041,0.5266106442577031,165.8262896554194,18434.66752074758,111.16854606741852,357,188,1,91.27439904212952,21.448323303073064,22.80440139151643,23.261775389393826,0.0019074694129740562,0.8891946564730077,0.0325231477822568,3.061133614025192
57,-5.349913757793466,5.349913757793466,0.4169014084507042,208.9833171297877,18347.758042820922,87.7953240230471,355,148,1,84.42651510238647,21.73929344545919,21.840427921538335,21.296341142149572,0.003277214224101774,0.788276615972032,0.08335883759751578,3.1924500850435944
58,-5.89979764687592,5.89979764687592,0.3258426966292135,250.2037011175315,20536.23120143737,82.07804724595427,356,116,1,76.81933045387268,21.356715935919105,20.595432071594086,24.366470233520282,0.04252348966692819,0.7108655370299412,-0.03808696604531206,3.41459498320869
59,-5.517802296454678,5.517802296454678,0.5852272727272727,112.83198126683051,16447.801673507245,145.7725149274007,352,206,1,98.59321212768555,21.648298348910174,24.760431085656272,26.26999474706995,0.014684483181618548,0.857141604007846,-0.00823873529998611,2.7676650215546097
60,-5.318119329473887,5.318119329473887,0.532394366197183,156.34360373941283,16980.225298491332,108.60837854801711,355,189,1,93.01876521110535,21.02375817749481,23.212016225787817,25.79480060552807,0.014452802062858533,1.0057503882185852,0.016487807695951748,2.716463965889867
61,-5.83692011060323,5.83692011060323,0.36768802228412256,239.6823209119521,25697.632339753796,107.21538510632949,359,132,1,76.29401397705078,22.94097080804484,22.19809996820516,21.61120444019565,0.014946300057694536,0.7222618057599963,0.1880562846364069,3.393401024663164
62,-5.4643062245280944,5.4643062245280944,0.43874643874643876,188.33081323982475,19509.809412033625,103.59329456720069,351,154,1,85.31542754173279,21.4652858308645,21.70451078289635,24.05452577156634,0.0024886117693733024,0.9630291426855148,0.07560167244281454,3.03011260481156
63,-5.975481076834609,5.975481076834609,0.5113636363636364,154.7373546406945,31148.954043415044,201.3020974524477,352,180,1,88.27604675292969,22.231834998729795,23.31718773251111,29.68439774998675,0.06692341826048885,1.041894102956467,-0.1877249051697618,2.504123827052148
64,-5.839940903885247,5.839940903885247,0.5722379603399433,80.39721064193313,15815.093161508248,196.71196345286512,353,202,1,95.45396137237549,21.034214123590885,24.263846177941804,27.097986047556443,0.011140827777035218,1.1526274795701652,-0.041854064940809205,2.5372264137388316
65,-6.289055605037479,6.289055605037479,0.32303370786516855,227.51780520542454,26942.33288619373,118.41856887581898,356,115,1,71.47897481918335,21.71018303813643,20.216965128729736,22.47175098759123,0.028561469088193785,1.0993961815125908,0.13454187663214953,3.108035635309358
66,-5.5824883127047915,5.5824883127047915,0.4943820224719101,165.66970349025334,21764.547098831918,131.3731276166156,356,176,1,88.27085590362549,21.637733632474824,22.829320738573514,25.334854439427176,0.005418047409911609,1.0231637992519726,0.14852907648134678,2.631524387640383
67,-5.799100994814395,5.799100994814395,0.38764044943820225,189.1252587146924,22743.524269714573,120.25640797152664,356,138,1,79.45178318023682,21.413983959911775,20.643556150870523,24.325258375088286,0.005437265879139813,0.9411217171937802,-0.02065959221741269,3.239582221340667
68,-5.251457175688767,5.251457175688767,0.4111111111111111,236.67510349880698,18569.091818741876,78.45815442449137,360,148,1,82.88478899002075,21.210215458968797,22.585382387808128,23.555773216898377,0.011540392200129637,0.7246793983541666,0.07562734492753631,3.360642109148048
69,-5.15202919967119,5.15202919967119,0.5472779369627507,186.5724098019959,17642.21918097454,94.55963612035531,349,191,1,91.34216451644897,22.078956518531722,23.239400946986116,23.562747026385292,0.004993117542027182,1.0541187009388446,0.09798176368807736,2.5993958607441487
70,-5.710959244083124,5.710959244083124,0.4435028248587571,151.6743703791104,20325.754571154965,134.00915738335158,354,157,1,83.15293192863464,23.394681970126477,21.634446263338667,19.548026200439068,0.0023285523858508385,1.1702538227398376,-0.06791972379568138,3.2030329320127677
